s. mon.|brizgad|brizgad|брызги|roiskeet, pärskeet|||||||||
v.|brizgoita|brizguuta|брызгать|roiskuttaa, purskahtaa|||||||||
v.|briznida|brizn’i/da, -b, -i|брызнуть|roiskia, pärskyttää|||||||||
s.|bronhit|bronhit, -an, -ad|бронхит|keuhkoputkentulehdus|||||||||
s.|brošk|brošk, -an, -ad|брошка|rintaneula, brošši|||||||||
s.|bross|bross|пшено, просо|hirssi|||||||||
s.|brükad|br’ukad|брюки|housut|||||||||
s.|brükv|br’ukv, -an, -ad|брюква|lanttu|||||||||
s.|buat’koi|buat’kuu, -n, -d|свёкор, отец мужа; тесть (IL)|appi|||||||||
s.|bučč|bučč, bučin, buččid|бочка|tynnyri|||||||||
s. dem.|bučiine|buči/in’e, -ižen, -št|бочонок|pieni tynnyri|||||||||
s.|büdžet|büd’žet, -an, -ad|бюджет|budjetti|||||||||
s.|buket|buket, -an, -ad|букет|kukkakimppu|||||||||
s.|bukv|bukv, -an, -ad|буква|kirjain|||||||||
s.|bukvar’|bukvar’, -in, -id ~ -t|букварь|aapinen|||||||||
s.|bulafk|bulafk, -an, -ad|булавка|nuppineula|||||||||
s.|bulk|bulk, -an, -ad|булка|pulla, sämpylä|||||||||
s.|bulkuine|(Pal) bul’k/uun’e, -uužen, -ušt|прыщ|finni|||||||||
s.|bülleten’|bül’l’et’en’, -in, -id|бюллетень|tiedote. vaalilippu|||||||||
s.|bumag|bumag, -an, -ad|бумага|paperi|bumag, kudambad ei pida|бумага, которая не нужна|tarpeeton paperi|kiärda bumagaha (IL)|завернуть в бумагу|kääriä paperiin|||
a.|bumagahine|bumagahi/in’e, -ižen, -št|бумажный|paperinen|||||||||
s.|bumazei|bumaz’ei|фланель|flanelli|||||||||
v.|burišta|bur’i/šta, -žob, -ž ~ -žii|бормотать, бурчать, ворчать, роптать; жужжать|mutista, kurista, nurista|||||||||
s.|büro|büro, -n, -d|бюро|toimisto|||||||||
s.|buru|buru, -n, -d|бормотание, ропот; жужжание|pärinä|||||||||
s.|busad|bus/ad, -iin, -iid|бусы|helmet|||||||||
s.|čahotk|čahotk, -an, -ad|чахотка||||||||||
a.|čainoi|čain/ij, -uun, -uud|чайная (кафе)|teehuone|||||||||
s.|čajunik|čain’ik, -an, -ad|чайник|teepannu|||||||||
v.|carstvuida|carstvu/ida, -ib, -i|царствовать|hallita, vallita|||||||||
s.|čast’|čast’, -in, -id|часть|osa|||||||||
