v.|diädüda|d’iädu/da, -b, -i|леденеть|||||||
v.|diädüda|d’iäduda|обледенеть|||||||
s.|diagnoz|d’iagnoz|диагноз|s.||||||
a.|diähine|d’iähi/in’e, -ižen, -št|ледяной|||||||
s.|dialekt|d’ial’ekt|диалект|s.||||||
s.|dialog|dialog|диалог|s.||||||
s.|diametr|diametr|диаметр|s.||||||
s. yhd.|diänlähtend|d’iän/l’ähtend|ледоход|||||||
s. yhd.|diänmurеndaj|d'iäm/murеndaj|ледокол|||||||
s. yhd.|diäpala|d’iä/pala|льдинка|||||||
s.|diäslid|d’iäsl’i/d, -in, -id|ясли|seimi||||||
v.|diättäda|d’iä/tta, -tab, -t’ ~ -t’ii|оставить|||||||
v.|diättäda|d’iä/tta, -tab, -t’ ~ -t’ii|покидать|||||||
s.|died|d’ied|дед|s.||||||
s.|diel|d’ielo|дело|asia|t’ühd’ d’ielo|пустое дело, вздор|turha asia|||
s.|diel|d’ielo|событие|||||||
s.|diel|d’ielo|дело|asia|paraz d’ielo|хобби|harrastus|||
s.|dieta|d’ieta|диета|s.||||||
adv.|diiv|d’iiv|удивительно|||||||
s.|diktor|d’iktor|диктор|s.||||||
v.|dimida|dimi/da, -b, -i (SV)|дымить|savuta||||||
s.|dinamik|d’inamik|динамик|num.||||||
s.|diplom|d’iplom|диплом|a.||||||
s.|diplomat|d’iplomat|дипломат|v.||||||
s.|diskoteka|d’iskot’eka|дискотека|s.||||||
